Time AnalogMoisture Temperature percMoisture
1708663412.434992 END: Average Moisture: 265.84 Average Temperature: 77.00 deg F
1708663412.436119 Sensor has been calibrated. Dry analog measurement at 449.00 and wet measurement at 265.84
1708663412.436459 Calibration slope at -0.01
1708663413.4346921 Please expose sensor to soil in 10 seconds.
1708663414.3777301 Sampling soil...
1708663415.32072 77.00 464.00 -2.53
1708663416.263767 77.00 464.00 -2.53
1708663417.206728 77.00 463.00 -2.53
1708663418.149803 77.00 462.80 -2.53
1708663419.0927649 77.00 298.90 -1.63
1708663420.035857 77.11 210.60 -1.15
1708663420.9787781 77.00 209.00 -1.14
1708663421.921838 77.00 473.80 -2.59
1708663422.864819 77.00 463.00 -2.53
1708663423.8078341 77.00 463.00 -2.53
1708663424.7508638 77.00 464.00 -2.53
1708663425.693898 77.00 464.00 -2.53
1708663426.637883 77.00 464.00 -2.53
1708663427.58094 77.00 463.90 -2.53
1708663428.523929 77.00 463.90 -2.53
1708663429.466877 77.00 463.70 -2.53
1708663430.409986 77.00 463.80 -2.53
1708663431.352915 77.00 463.90 -2.53
1708663432.295965 77.00 463.80 -2.53
1708663433.239007 76.89 463.80 -2.53
1708663434.1829839 77.00 463.30 -2.53
1708663435.1260018 77.00 463.40 -2.53
1708663436.068994 77.00 463.60 -2.53
1708663437.012015 77.00 463.40 -2.53
1708663437.955059 77.00 463.20 -2.53
1708663438.8980548 77.00 463.40 -2.53
1708663439.841103 77.00 463.40 -2.53
1708663440.7840571 77.00 463.00 -2.53
1708663441.727154 77.00 463.00 -2.53
1708663442.670241 77.00 463.20 -2.53
1708663443.613133 77.00 463.00 -2.53
1708663444.5571232 77.00 463.00 -2.53
1708663445.5001652 77.00 463.00 -2.53
1708663446.443276 76.89 463.00 -2.53
1708663447.386318 77.00 463.00 -2.53
1708663448.3291981 77.00 463.00 -2.53
1708663449.2749581 77.00 463.00 -2.53
1708663450.215202 77.00 463.00 -2.53
1708663451.158203 77.00 463.00 -2.53
1708663452.1011899 77.00 463.00 -2.53
1708663453.045253 77.00 463.00 -2.53
1708663453.988338 77.00 463.00 -2.53
1708663454.931326 77.00 463.00 -2.53
1708663455.874364 77.00 463.00 -2.53
1708663456.817311 77.00 463.00 -2.53
